848
	0
МЫВШИ	448
МЫЛ	441
МЫЛА	442
МЫЛИ	444
МЫЛО	443
МЫТЬ	434
МЯВШИ	463
МЯЛ	456
МЯЛА	457
МЯЛИ	459
МЯЛО	458
МЯТЬ	449
НАИ	2
НАИЗ	274
НАИЛУЧ	755
НАИНЕ	9
НАИХОРО	754
НЕ	24
НЕД	464
НЕДОП	465
НЕМКА	466
НЕМКАМ	473
НЕМКАМИ	474
НЕМКАХ	475
НЕМКЕ	468
НЕМКИ	467
НЕМКОЙ	470
НЕМКОЮ	471
НЕМКУ	469
НЕМОК	472
О	476
ОБ	25
ОБОЖ	478
ОЖ	477
ОКОЛ	479
ОКОЛОП	480
ОСЕМЬ	481
ОСЕМЬЮ	483
ОСЕТИН	485
ОСЕТИНА	486
ОСЕТИНАМ	491
ОСЕТИНАМИ	492
ОСЕТИНАХ	493
ОСЕТИНЕ	489
ОСЕТИНКА	494
ОСЕТИНКАМ	501
ОСЕТИНКАМИ	502
ОСЕТИНКАХ	503
ОСЕТИНКЕ	496
ОСЕТИНКИ	495
ОСЕТИНКОЙ	498
ОСЕТИНКОЮ	499
ОСЕТИНКУ	497
ОСЕТИНОК	500
ОСЕТИНОМ	488
ОСЕТИНУ	487
ОСЕТИНЫ	490
ОСЬМИ	482
ОСЬМЬЮ	484
ОТ	504
ОТОЖ	505
П	506
ПАЛЕСТИНКА	509
ПАЛЕСТИНКАМ	516
ПАЛЕСТИНКАМИ	517
ПАЛЕСТИНКАХ	518
ПАЛЕСТИНКЕ	511
ПАЛЕСТИНКИ	510
ПАЛЕСТИНКОЙ	513
ПАЛЕСТИНКОЮ	514
ПАЛЕСТИНКУ	512
ПАЛЕСТИНОК	515
ПЕ	508
ПЕВШИ	546
ПЕЙ	558
ПЕЙТЕ	559
ПЕЛ	540
ПЕЛА	541
ПЕЛИ	543
ПЕЛО	542
ПЕР	526
ПЕРЕТЬ	519
ПЕРЛА	527
ПЕРЛИ	529
ПЕРЛО	528
ПЕРШИ	532
ПЕТЬ	533
ПИВШИ	560
ПИЛ	554
ПИЛА	555
ПИЛИ	557
ПИЛО	556
ПИТЬ	547
ПЛО	561
ПО	1
ПОБО	92
ПОЕМ	535
ПОЕТ	538
ПОЕТЕ	537
ПОЕШЬ	536
ПОЗ	273
ПОЙ	544
ПОЙТЕ	545
ПОКО	336
ПОЛ	562
ПОЛУ	563
ПОЛУЧ	753
ПОПОПЕРЕЧНЕЕ	12
ПОПОПЕРЕЧНЕЙ	13
ПОПОПЛАВКОВЕЕ	7
ПОПОПЛАВКОВЕЙ	8
ПОПОПЛАВОЧНЕЕ	3
ПОПОПЛАВОЧНЕЙ	4
ПОПОПЛИНОВЕЕ	20
ПОПОПЛИНОВЕЙ	21
ПОПОПОННЕЕ	14
ПОПОПОННЕЙ	15
ПОПОПРАВИМЕЕ	22
ПОПОПРАВИМЕЙ	23
ПОПОПРАВОЧНЕЕ	5
ПОПОПРАВОЧНЕЙ	6
ПОПОПУЛЯРНЕЕ	10
ПОПОПУЛЯРНЕЙ	11
ПОПОПУТНЕЕ	16
ПОПОПУТНЕЙ	17
ПОПОПЯТНЕЕ	18
ПОПОПЯТНЕЙ	19
ПОЮ	534
ПОЮТ	539
ПРЕМ	521
ПРЕТ	524
ПРЕТЕ	523
ПРЕШЬ	522
ПРИ	530
ПРИТЕ	531
ПРОИЗО	564
ПРОИС	565
ПРУ	520
ПРУТ	525
ПУЩ	507
ПЬЕМ	549
ПЬЕТ	552
ПЬЕТЕ	551
ПЬЕШЬ	550
ПЬЮ	548
ПЬЮТ	553
ПЯТИ	567
ПЯТЬ	566
ПЯТЬЮ	568
Р	569
РА	570
РАЗО	572
РАРАС	574
РАС	573
РИМСКАЯ	580
РИМСКИЕ	583
РИМСКИЙ	575
РИМСКИМ	578
РИМСКИМИ	585
РИМСКИХ	584
РИМСКОГО	576
РИМСКОЙ	581
РИМСКОМ	579
РИМСКОМУ	577
РИМСКУЮ	582
РО	571
РОЕМ	593
РОЕТ	596
РОЕТЕ	595
РОЕШЬ	594
РОЙ	602
РОЙТЕ	603
РОСТОВ	586
РОСТОВА	587
РОСТОВЕ	590
РОСТОВОМ	589
РОСТОВУ	588
РОЮ	592
РОЮТ	597
РОЯ	604
РЫВШИ	605
РЫЛ	598
РЫЛА	599
РЫЛИ	601
РЫЛО	600
РЫТЬ	591
С	606
СГО	617
СДЕ	619
СЕ	610
СЕМИ	612
СЕМЬ	611
СЕМЬЮ	613
СНИЗО	614
СНИС	615
СО	607
СОГ	616
СОД	618
СОЖ	609
СОП	621
СОТ	623
СПЕ	620
СТЕ	622
СЫР	624
СЫРА	625
СЫРЕ	628
СЫРОМ	627
СЫРУ	626
Т	629
ТА	650
ТЕ	630
ТЕМ	648
ТЕМИ	656
ТЕР	638
ТЕРЕТЬ	631
ТЕРЛА	639
ТЕРЛИ	641
ТЕРЛО	640
ТЕРШИ	644
ТЕХ	655
ТО	654
ТОГО	646
ТОЙ	651
ТОМ	649
ТОМУ	647
ТОТ	645
ТОЮ	653
ТРЕМ	633
ТРЕТ	636
ТРЕТЕ	635
ТРЕШЬ	634
ТРИ	642
ТРИТЕ	643
ТРУ	632
ТРУТ	637
ТУ	652
ТУРЧАНКА	657
ТУРЧАНКАМ	664
ТУРЧАНКАМИ	665
ТУРЧАНКАХ	666
ТУРЧАНКЕ	659
ТУРЧАНКИ	658
ТУРЧАНКОЙ	661
ТУРЧАНКОЮ	662
ТУРЧАНКУ	660
ТУРЧАНОК	663
ТЫКАЮЩАЯ	677
ТЫКАЮЩЕГО	669
ТЫКАЮЩЕЕ	691
ТЫКАЮЩЕЙ	679
ТЫКАЮЩЕМ	675
ТЫКАЮЩЕМУ	671
ТЫКАЮЩЕЮ	683
ТЫКАЮЩИЕ	685
ТЫКАЮЩИЙ	667
ТЫКАЮЩИМ	673
ТЫКАЮЩИМИ	689
ТЫКАЮЩИХ	687
ТЫКАЮЩУЮ	681
ТЫЧУЩАЯ	678
ТЫЧУЩЕГО	670
ТЫЧУЩЕЕ	692
ТЫЧУЩЕЙ	680
ТЫЧУЩЕМ	676
ТЫЧУЩЕМУ	672
ТЫЧУЩЕЮ	684
ТЫЧУЩИЕ	686
ТЫЧУЩИЙ	668
ТЫЧУЩИМ	674
ТЫЧУЩИМИ	690
ТЫЧУЩИХ	688
ТЫЧУЩУЮ	682
ТЬ	693
УДИ	705
УДИВШИ	707
УДИЛ	701
УДИЛА	702
УДИЛИ	704
УДИЛО	703
УДИМ	696
УДИТ	699
УДИТЕ	698
УДИТЬ	694
УДИШЬ	697
УДЯ	706
УДЯТ	700
УЖУ	695
УЗИВШИ	721
УЗИЛ	714
УЗИЛА	715
УЗИЛИ	717
УЗИЛО	716
УЗИМ	709
УЗИТ	712
УЗИТЕ	711
УЗИТЬ	708
УЗИШЬ	710
УЗЬ	718
УЗЬТЕ	719
УЗЯ	720
УЗЯТ	713
УМЕРТ	722
УМЕРЩ	723
УС	724
УШ	725
ФИНКА	726
ФИНКАМ	733
ФИНКАМИ	734
ФИНКАХ	735
ФИНКЕ	728
ФИНКИ	727
ФИНКОЙ	730
ФИНКОЮ	731
ФИНКУ	729
ФИНН	736
ФИННА	737
ФИННАМ	743
ФИННАМИ	744
ФИННАХ	745
ФИННЕ	740
ФИННОВ	742
ФИННОМ	739
ФИННУ	738
ФИННЫ	741
ФИНОК	732
ФРАНЦ	746
ФРАНЦА	747
ФРАНЦЕ	750
ФРАНЦЕМ	749
ФРАНЦУ	748
ХОРО	751
Ч	756
ЧЕ	757
ЧЕГО	813
ЧЕЙ	767
ЧЕМ	815
ЧЕМУ	814
ЧЕЧЕНЕЦ	780
ЧЕЧЕНКА	790
ЧЕЧЕНКАМ	797
ЧЕЧЕНКАМИ	798
ЧЕЧЕНКАХ	799
ЧЕЧЕНКЕ	792
ЧЕЧЕНКИ	791
ЧЕЧЕНКОЙ	794
ЧЕЧЕНКОЮ	795
ЧЕЧЕНКУ	793
ЧЕЧЕНОК	796
ЧЕЧЕНЦА	781
ЧЕЧЕНЦАМ	787
ЧЕЧЕНЦАМИ	788
ЧЕЧЕНЦАХ	789
ЧЕЧЕНЦЕ	784
ЧЕЧЕНЦЕВ	786
ЧЕЧЕНЦЕМ	783
ЧЕЧЕНЦУ	782
ЧЕЧЕНЦЫ	785
ЧИЖИК	800
ЧИЖИКА	801
ЧИЖИКАМИ	808
ЧИЖИКАХ	809
ЧИЖИКЕ	804
ЧИЖИКИ	805
ЧИЖИКОВ	806
ЧИЖИКОМ	803
ЧИЖИКПМ	807
ЧИЖИКУ	802
ЧТ	810
ЧТЕМ	759
ЧТЕТ	762
ЧТЕТЕ	761
ЧТЕШЬ	760
ЧТИ	764
ЧТИТЕ	765
ЧТО	812
ЧТУ	758
ЧТУТ	763
ЧТЯ	766
ЧЬЕ	776
ЧЬЕГО	768
ЧЬЕЙ	773
ЧЬЕМ	771
ЧЬЕМУ	769
ЧЬЕЮ	775
ЧЬИ	777
ЧЬИМ	770
ЧЬИМИ	779
ЧЬИХ	778
ЧЬЮ	774
ЧЬЯ	772
Ш	608
ШЕСТИ	817
ШЕСТЬ	816
ШЕСТЬЮ	818
ШЛЕМ	27
ШЛЕТ	30
ШЛЕТЕ	29
ШЛЕШЬ	28
ШЛИ	32
ШЛИТЕ	33
ШЛО	311
ШЛЮ	26
ШЛЮТ	31
ШО	819
ШТ	811
ШУР	821
ШУРАМ	822
ШУРАМИ	823
ШУРАХ	824
ШУРЫ	820
Э	825
ЭРИ	826
ЭРЬ	827
ЮЛИ	828
ЮЛЬ	829
ЮРИ	830
ЮРЬ	831
ЮТИ	843
ЮТИВШИ	845
ЮТИЛ	839
ЮТИЛА	840
ЮТИЛИ	842
ЮТИЛО	841
ЮТИМ	834
ЮТИТ	837
ЮТИТЕ	836
ЮТИТЬ	832
ЮТИШЬ	835
ЮТЯ	844
ЮТЯТ	838
ЮЧУ	833
ЯИ	847
ЯЙ	846
4498
NOUN anim|masc|nomn|sing	0
NOUN inan|masc|nomn|sing	48
NOUN anim|femn|nomn|sing	28
NOUN femn|inan|nomn|sing	128
NOUN ANim|neut|nomn|sing	177
NOUN anim|neut|nomn|sing	200
NOUN inan|neut|nomn|sing	213
NOUN Ms-f|anim|masc|nomn|sing	251
NOUN Ms-f|anim|femn|nomn|sing	266
NOUN anim|nomn|plur	34
NOUN anim|masc|nomn|plur	6
NOUN inan|masc|nomn|plur	54
NOUN anim|femn|nomn|plur	108
NOUN femn|inan|nomn|plur	135
NOUN ANim|neut|nomn|plur	189
NOUN anim|neut|nomn|plur	206
NOUN inan|neut|nomn|plur	219
NOUN Ms-f|anim|masc|nomn|plur	257
NOUN Ms-f|anim|femn|nomn|plur	273
NOUN Sgtm|anim|masc|nomn|sing	284
NOUN Sgtm|inan|masc|nomn|sing	304
NOUN Sgtm|anim|femn|nomn|sing	290
NOUN Sgtm|femn|inan|nomn|sing	93
NOUN Sgtm|anim|neut|nomn|sing	318
NOUN Sgtm|inan|neut|nomn|sing	325
NOUN Ms-f|Sgtm|anim|femn|nomn|sing	338
NOUN GNdr|Pltm|anim|nomn|plur	345
NOUN GNdr|Pltm|inan|nomn|plur	100
NOUN GNdr|Ms-f|Pltm|anim|nomn|plur	297
NOUN Fixd|anim|masc|nomn|sing	356
NOUN Fixd|inan|masc|nomn|sing	368
NOUN Fixd|anim|femn|nomn|sing	380
NOUN Fixd|femn|inan|nomn|sing	392
NOUN Fixd|anim|neut|nomn|sing	404
NOUN Fixd|inan|neut|nomn|sing	416
NOUN Fixd|GNdr|Ms-f|anim|nomn|sing	432
NOUN Fixd|Ms-f|anim|masc|nomn|sing	444
NOUN Fixd|Ms-f|inan|masc|nomn|sing	456
NOUN Fixd|anim|masc|nomn|plur	362
NOUN Fixd|inan|masc|nomn|plur	374
NOUN Fixd|anim|femn|nomn|plur	386
NOUN Fixd|femn|inan|nomn|plur	398
NOUN Fixd|anim|neut|nomn|plur	410
NOUN Fixd|inan|neut|nomn|plur	422
NOUN Fixd|GNdr|Ms-f|anim|nomn|plur	438
NOUN Fixd|Ms-f|anim|masc|nomn|plur	450
NOUN Fixd|Ms-f|inan|masc|nomn|plur	462
NOUN Fixd|Sgtm|anim|masc|nomn|sing	468
NOUN Fixd|Sgtm|inan|masc|nomn|sing	474
NOUN Fixd|Sgtm|anim|femn|nomn|sing	480
NOUN Fixd|Sgtm|femn|inan|nomn|sing	486
NOUN Fixd|Sgtm|inan|neut|nomn|sing	492
NOUN Fixd|GNdr|Ms-f|Sgtm|inan|nomn|sing	498
NOUN Fixd|Ms-f|Sgtm|anim|masc|nomn|sing	504
NOUN Fixd|GNdr|Pltm|inan|nomn|plur	510
NOUN Fixd|Pltm|femn|inan|nomn|plur	516
NOUN anim|gent|masc|sing	1
NOUN gent|inan|masc|sing	49
NOUN anim|femn|gent|sing	29
NOUN femn|gent|inan|sing	129
NOUN ANim|gent|neut|sing	179
NOUN anim|gent|neut|sing	201
NOUN gent|inan|neut|sing	214
NOUN Ms-f|anim|gent|masc|sing	252
NOUN Ms-f|anim|femn|gent|sing	267
NOUN anim|gent|plur	35
NOUN anim|gent|masc|plur	7
NOUN gent|inan|masc|plur	55
NOUN anim|femn|gent|plur	109
NOUN femn|gent|inan|plur	136
NOUN ANim|gent|neut|plur	191
NOUN anim|gent|neut|plur	207
NOUN gent|inan|neut|plur	220
NOUN Ms-f|anim|gent|masc|plur	258
NOUN Ms-f|anim|femn|gent|plur	274
NOUN Sgtm|anim|gent|masc|sing	285
NOUN Sgtm|gent|inan|masc|sing	305
NOUN Sgtm|anim|femn|gent|sing	291
NOUN Sgtm|femn|gent|inan|sing	94
NOUN Sgtm|anim|gent|neut|sing	319
NOUN Sgtm|gent|inan|neut|sing	327
NOUN Ms-f|Sgtm|anim|femn|gent|sing	339
NOUN GNdr|Pltm|anim|gent|plur	346
NOUN GNdr|Pltm|gent|inan|plur	101
NOUN GNdr|Ms-f|Pltm|anim|gent|plur	298
NOUN Fixd|anim|gent|masc|sing	357
NOUN Fixd|gent|inan|masc|sing	369
NOUN Fixd|anim|femn|gent|sing	381
NOUN Fixd|femn|gent|inan|sing	393
NOUN Fixd|anim|gent|neut|sing	405
NOUN Fixd|gent|inan|neut|sing	417
NOUN Fixd|GNdr|Ms-f|anim|gent|sing	433
NOUN Fixd|Ms-f|anim|gent|masc|sing	445
NOUN Fixd|Ms-f|gent|inan|masc|sing	457
NOUN Fixd|anim|gent|masc|plur	363
NOUN Fixd|gent|inan|masc|plur	375
NOUN Fixd|anim|femn|gent|plur	387
NOUN Fixd|femn|gent|inan|plur	399
NOUN Fixd|anim|gent|neut|plur	411
NOUN Fixd|gent|inan|neut|plur	423
NOUN Fixd|GNdr|Ms-f|anim|gent|plur	439
NOUN Fixd|Ms-f|anim|gent|masc|plur	451
NOUN Fixd|Ms-f|gent|inan|masc|plur	463
NOUN Fixd|Sgtm|anim|gent|masc|sing	469
NOUN Fixd|Sgtm|gent|inan|masc|sing	475
NOUN Fixd|Sgtm|anim|femn|gent|sing	481
NOUN Fixd|Sgtm|femn|gent|inan|sing	487
NOUN Fixd|Sgtm|gent|inan|neut|sing	493
NOUN Fixd|GNdr|Ms-f|Sgtm|gent|inan|sing	499
NOUN Fixd|Ms-f|Sgtm|anim|gent|masc|sing	505
NOUN Fixd|GNdr|Pltm|gent|inan|plur	511
NOUN Fixd|Pltm|femn|gent|inan|plur	517
NOUN anim|datv|masc|sing	2
NOUN datv|inan|masc|sing	50
NOUN anim|datv|femn|sing	30
NOUN datv|femn|inan|sing	130
NOUN ANim|datv|neut|sing	181
NOUN anim|datv|neut|sing	202
NOUN datv|inan|neut|sing	215
NOUN Ms-f|anim|datv|masc|sing	253
NOUN Ms-f|anim|datv|femn|sing	268
NOUN anim|datv|plur	36
NOUN anim|datv|masc|plur	8
NOUN datv|inan|masc|plur	56
NOUN anim|datv|femn|plur	110
NOUN datv|femn|inan|plur	137
NOUN ANim|datv|neut|plur	192
NOUN anim|datv|neut|plur	208
NOUN datv|inan|neut|plur	221
NOUN Ms-f|anim|datv|masc|plur	259
NOUN Ms-f|anim|datv|femn|plur	275
NOUN Sgtm|anim|datv|masc|sing	286
NOUN Sgtm|datv|inan|masc|sing	306
NOUN Sgtm|anim|datv|femn|sing	292
NOUN Sgtm|datv|femn|inan|sing	95
NOUN Sgtm|anim|datv|neut|sing	320
NOUN Sgtm|datv|inan|neut|sing	328
NOUN Ms-f|Sgtm|anim|datv|femn|sing	340
NOUN GNdr|Pltm|anim|datv|plur	347
NOUN GNdr|Pltm|datv|inan|plur	102
NOUN GNdr|Ms-f|Pltm|anim|datv|plur	299
NOUN Fixd|anim|datv|masc|sing	358
NOUN Fixd|datv|inan|masc|sing	370
NOUN Fixd|anim|datv|femn|sing	382
NOUN Fixd|datv|femn|inan|sing	394
NOUN Fixd|anim|datv|neut|sing	406
NOUN Fixd|datv|inan|neut|sing	418
NOUN Fixd|GNdr|Ms-f|anim|datv|sing	434
NOUN Fixd|Ms-f|anim|datv|masc|sing	446
NOUN Fixd|Ms-f|datv|inan|masc|sing	458
NOUN Fixd|anim|datv|masc|plur	364
NOUN Fixd|datv|inan|masc|plur	376
NOUN Fixd|anim|datv|femn|plur	388
NOUN Fixd|datv|femn|inan|plur	400
NOUN Fixd|anim|datv|neut|plur	412
NOUN Fixd|datv|inan|neut|plur	424
NOUN Fixd|GNdr|Ms-f|anim|datv|plur	440
NOUN Fixd|Ms-f|anim|datv|masc|plur	452
NOUN Fixd|Ms-f|datv|inan|masc|plur	464
NOUN Fixd|Sgtm|anim|datv|masc|sing	470
NOUN Fixd|Sgtm|datv|inan|masc|sing	476
NOUN Fixd|Sgtm|anim|datv|femn|sing	482
NOUN Fixd|Sgtm|datv|femn|inan|sing	488
NOUN Fixd|Sgtm|datv|inan|neut|sing	494
NOUN Fixd|GNdr|Ms-f|Sgtm|datv|inan|sing	500
NOUN Fixd|Ms-f|Sgtm|anim|datv|masc|sing	506
NOUN Fixd|GNdr|Pltm|datv|inan|plur	512
NOUN Fixd|Pltm|datv|femn|inan|plur	518
NOUN accs|anim|masc|sing	3
NOUN accs|inan|masc|sing	51
NOUN accs|anim|femn|sing	31
NOUN accs|femn|inan|sing	131
NOUN ANim|accs|neut|sing	183
NOUN accs|anim|neut|sing	203
NOUN accs|inan|neut|sing	216
NOUN Ms-f|accs|anim|masc|sing	254
NOUN Ms-f|accs|anim|femn|sing	269
NOUN accs|anim|plur	37
NOUN accs|anim|masc|plur	9
NOUN accs|inan|masc|plur	57
NOUN accs|anim|femn|plur	111
NOUN accs|femn|inan|plur	138
NOUN ANim|accs|neut|plur	194
NOUN accs|anim|neut|plur	209
NOUN accs|inan|neut|plur	222
NOUN Ms-f|accs|anim|masc|plur	260
NOUN Ms-f|accs|anim|femn|plur	276
NOUN Sgtm|accs|anim|masc|sing	287
NOUN Sgtm|accs|inan|masc|sing	307
