абажур	абажур:ROOT
автомобиль	автомобил:ROOT/ь:END
автомобильчик	автомобиль:ROOT/чик:SUFF
автомобильчики	автомобиль:ROOT/чик:SUFF/и:END
автономия	автоном:ROOT/и:SUFF/я:END
автономность	автоном:ROOT/н:SUFF/ост:SUFF/ь:END
автор	автор:ROOT
авторизация	автор:ROOT/из:SUFF/аци:SUFF/я:END
авторитарность	автор:ROOT/ит:SUFF/ар:SUFF/н:SUFF/ост:SUFF/ь:END
авторитет	автор:ROOT/ит:SUFF/ет:SUFF
авторитетность	автор:ROOT/ит:SUFF/ет:SUFF/н:SUFF/ост:SUFF/ь:END
авторитеты	автор:ROOT/ит:SUFF/ет:SUFF/ы:END
авторство	автор:ROOT/ств:SUFF/о:END
авторы	автор:ROOT/ы:END
соавтор	со:PREF/автор:ROOT
соавторство	со:PREF/автор:ROOT/ств:SUFF/о:END
соавторы	со:PREF/автор:ROOT/ы:END
авторизовавший	автор:ROOT/из:SUFF/ов:SUFF/авш:SUFF/ий:END
авторизованный	автор:ROOT/из:SUFF/ов:SUFF/анн:SUFF/ый:END
авторизующий	автор:ROOT/из:SUFF/ующ:SUFF/ий:END
авторитарный	автор:ROOT/ит:SUFF/ар:SUFF/н:SUFF/ый:END
авторитетный	автор:ROOT/ит:SUFF/ет:SUFF/н:SUFF/ый:END
авторский	автор:ROOT/ск:SUFF/ий:END
соавторский	со:PREF/автор:ROOT/ск:SUFF/ий:END
агент	агент:ROOT
агентства	агент:ROOT/ств:SUFF/а:END
агентство	агент:ROOT/ств:SUFF/о:END
агентура	агент:ROOT/ур:SUFF/а:END
агентушка	агент:ROOT/ушк:SUFF/а:END
агентушки	агент:ROOT/ушк:SUFF/и:END
агенты	агент:ROOT/ы:END
агентивный	агент:ROOT/ивн:SUFF/ый:END
агентский	агент:ROOT/ск:SUFF/ий:END
агентурный	агент:ROOT/ур:SUFF/н:SUFF/ый:END
агитаторский	агит:ROOT/атор:SUFF/ск:SUFF/ий:END
агитационный	агит:ROOT/аци:SUFF/онн:SUFF/ый:END
агитировавший	агит:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
агитируемый	агит:ROOT/ир:SUFF/у:SUFF/ем:SUFF/ый:END
агитирующий	агит:ROOT/ир:SUFF/ующ:SUFF/ий:END
сагитированный	с:PREF/агит:ROOT/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
агитировать	агит:ROOT/ир:SUFF/ов:SUFF/ать:END
поагитировать	по:PREF/агит:ROOT/ир:SUFF/ов:SUFF/ать:END
сагитировать	с:PREF/агит:ROOT/ир:SUFF/ов:SUFF/ать:END
агрегат	агрегат:ROOT
агрегатирование	агрегат:ROOT/ир:SUFF/ов:SUFF/ани:SUFF/е:END
агрегатчик	агрегат:ROOT/чик:SUFF
агрессивность	агресс:ROOT/ивн:SUFF/ост:SUFF/ь:END
агрессии	агресс:ROOT/и:SUFF/и:END
агрессия	агресс:ROOT/и:SUFF/я:END
агрессор	агресс:ROOT/ор:SUFF
агрессоры	агресс:ROOT/ор:SUFF/ы:END
адаптационный	адапт:ROOT/аци:SUFF/онн:SUFF/ый:END
адаптивный	адапт:ROOT/ивн:SUFF/ый:END
адаптированный	адапт:ROOT/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
неадаптированный	не:PREF/адапт:ROOT/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
аджарец	аджар:ROOT/ец:SUFF
аджарка	аджар:ROOT/к:SUFF/а:END
аджарки	аджар:ROOT/к:SUFF/и:END
аджарцы	аджар:ROOT/ц:SUFF/ы:END
административный	ад:PREF/министр:ROOT/ат:SUFF/ивн:SUFF/ый:END
администраторский	ад:PREF/министр:ROOT/атор:SUFF/ск:SUFF/ий:END
администрировавший	ад:PREF/министр:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
администрирующий	ад:PREF/министр:ROOT/ир:SUFF/ующ:SUFF/ий:END
министерский	министер:ROOT/ск:SUFF/ий:END
администратор	ад:PREF/министр:ROOT/атор:SUFF
администраторы	ад:PREF/министр:ROOT/атор:SUFF/ы:END
администрация	ад:PREF/министр:ROOT/аци:SUFF/я:END
министерства	министер:ROOT/ств:SUFF/а:END
министерство	министер:ROOT/ств:SUFF/о:END
министр	министр:ROOT
министры	министр:ROOT/ы:END
адрес	адрес:ROOT
адреса	адрес:ROOT/а:END
адресант	адрес:ROOT/ант:SUFF
адресанты	адрес:ROOT/ант:SUFF/ы:END
адресат	адрес:ROOT/ат:SUFF
адресаты	адрес:ROOT/ат:SUFF/ы:END
адресация	адрес:ROOT/аци:SUFF/я:END
адрески	адрес:ROOT/к:SUFF/и:END
адресок	адрес:ROOT/ок:SUFF
адресы	адрес:ROOT/ы:END
переадресация	пере:PREF/адрес:ROOT/аци:SUFF/я:END
адресный	адрес:ROOT/н:SUFF/ый:END
адресовавший	адрес:ROOT/ов:SUFF/авш:SUFF/ий:END
адресовавшийся	адрес:ROOT/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
адресовальный	адрес:ROOT/ов:SUFF/аль:SUFF/н:SUFF/ый:END
адресованный	адрес:ROOT/ов:SUFF/анн:SUFF/ый:END
адресующий	адрес:ROOT/ующ:SUFF/ий:END
адресующийся	адрес:ROOT/ующ:SUFF/ий:END/ся:POSTFIX
переадресовавший	пере:PREF/адрес:ROOT/ов:SUFF/авш:SUFF/ий:END
переадресовавшийся	пере:PREF/адрес:ROOT/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
адресовать	адрес:ROOT/ов:SUFF/ать:END
адресоваться	адрес:ROOT/ов:SUFF/ать:END/ся:POSTFIX
переадресовать	пере:PREF/адрес:ROOT/ов:SUFF/ать:END
переадресоваться	пере:PREF/адрес:ROOT/ов:SUFF/ать:END/ся:POSTFIX
азербайджанец	азербайджан:ROOT/ец:SUFF
азербайджанка	азербайджан:ROOT/к:SUFF/а:END
азербайджанки	азербайджан:ROOT/к:SUFF/и:END
азербайджанцы	азербайджан:ROOT/ц:SUFF/ы:END
азотистый	азот:ROOT/ист:SUFF/ый:END
азотный	азот:ROOT/н:SUFF/ый:END
аист	аист:ROOT
аистенок	аист:ROOT/енок:SUFF
аисты	аист:ROOT/ы:END
аистята	аист:ROOT/ят:SUFF/а:END
академии	академ:ROOT/и:SUFF/и:END
академик	академ:ROOT/ик:SUFF
академики	академ:ROOT/ик:SUFF/и:END
академичность	академ:ROOT/ичн:SUFF/ост:SUFF/ь:END
академия	академ:ROOT/и:SUFF/я:END
акваланг	акваланг:ROOT
акваланги	акваланг:ROOT/и:END
аквалангист	аквалангист:ROOT
аквалангистка	аквалангист:ROOT/к:SUFF/а:END
аквалангистки	аквалангист:ROOT/к:SUFF/и:END
аквалангисты	аквалангист:ROOT/ы:END
акварели	акварел:ROOT/и:END
акварелист	акварел:ROOT/ист:SUFF
акварелистка	акварел:ROOT/ист:SUFF/к:SUFF/а:END
акварелистки	акварел:ROOT/ист:SUFF/к:SUFF/и:END
акварелисты	акварел:ROOT/ист:SUFF/ы:END
акварель	акварел:ROOT/ь:END
акварелька	акварель:ROOT/к:SUFF/а:END
акварельки	акварель:ROOT/к:SUFF/и:END
аккламация	ак:PREF/клам:ROOT/аци:SUFF/я:END
декламация	де:PREF/клам:ROOT/аци:SUFF/я:END
прокламация	про:PREF/клам:ROOT/аци:SUFF/я:END
рекламация	ре:PREF/клам:ROOT/аци:SUFF/я:END
аккорд	аккорд:ROOT
аккордеон	аккорд:ROOT/еон:SUFF
аккордеонист	аккорд:ROOT/еон:SUFF/ист:SUFF
аккордеонистка	аккорд:ROOT/еон:SUFF/ист:SUFF/к:SUFF/а:END
аккордеонистки	аккорд:ROOT/еон:SUFF/ист:SUFF/к:SUFF/и:END
аккордеонисты	аккорд:ROOT/еон:SUFF/ист:SUFF/ы:END
аккорды	аккорд:ROOT/ы:END
аккредитационный	ак:PREF/кредит:ROOT/аци:SUFF/онн:SUFF/ый:END
аккредитивный	ак:PREF/кредит:ROOT/ивн:SUFF/ый:END
аккредитовавший	ак:PREF/кредит:ROOT/ов:SUFF/авш:SUFF/ий:END
аккредитовавшийся	ак:PREF/кредит:ROOT/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
аккредитованный	ак:PREF/кредит:ROOT/ов:SUFF/анн:SUFF/ый:END
кредитный	кредит:ROOT/н:SUFF/ый:END
кредитовавший	кредит:ROOT/ов:SUFF/авш:SUFF/ий:END
кредитовавшийся	кредит:ROOT/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
кредитовый	кредит:ROOT/ов:SUFF/ый:END
кредиторный	кредит:ROOT/ор:SUFF/н:SUFF/ый:END
кредиторский	кредит:ROOT/ор:SUFF/ск:SUFF/ий:END
кредитующий	кредит:ROOT/ующ:SUFF/ий:END
кредитующийся	кредит:ROOT/ующ:SUFF/ий:END/ся:POSTFIX
прокредитовавший	про:PREF/кредит:ROOT/ов:SUFF/авш:SUFF/ий:END
аккредитация	ак:PREF/кредит:ROOT/аци:SUFF/я:END
аккредитив	ак:PREF/кредит:ROOT/ив:SUFF
аккредитивы	ак:PREF/кредит:ROOT/ив:SUFF/ы:END
кредит	кредит:ROOT
кредитка	кредит:ROOT/к:SUFF/а:END
кредитки	кредит:ROOT/к:SUFF/и:END
кредитование	кредит:ROOT/ов:SUFF/ани:SUFF/е:END
кредитор	кредит:ROOT/ор:SUFF
кредиторка	кредит:ROOT/ор:SUFF/к:SUFF/а:END
кредиторы	кредит:ROOT/ор:SUFF/ы:END
кредиты	кредит:ROOT/ы:END
аккумулировавший	ак:PREF/кумул:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
аккумулированный	ак:PREF/кумул:ROOT/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
аккумулирующий	ак:PREF/кумул:ROOT/ир:SUFF/ующ:SUFF/ий:END
аккумулятивный	ак:PREF/кумул:ROOT/ят:SUFF/ивн:SUFF/ый:END
аккумуляторный	ак:PREF/кумул:ROOT/ятор:SUFF/н:SUFF/ый:END
кумулятивный	кумул:ROOT/ят:SUFF/ивн:SUFF/ый:END
аккумулирование	ак:PREF/кумул:ROOT/ир:SUFF/ов:SUFF/ани:SUFF/е:END
аккумулятор	ак:PREF/кумул:ROOT/ятор:SUFF
аккумуляторы	ак:PREF/кумул:ROOT/ятор:SUFF/ы:END
аккумуляция	ак:PREF/кумул:ROOT/яци:SUFF/я:END
аккумулировать	ак:PREF/кумул:ROOT/ир:SUFF/ов:SUFF/ать:END
аккумулироваться	ак:PREF/кумул:ROOT/ир:SUFF/ов:SUFF/ать:END/ся:POSTFIX
аккуратист	аккурат:ROOT/ист:SUFF
аккуратистка	аккурат:ROOT/ист:SUFF/к:SUFF/а:END
аккуратистки	аккурат:ROOT/ист:SUFF/к:SUFF/и:END
аккуратисты	аккурат:ROOT/ист:SUFF/ы:END
аккуратность	аккурат:ROOT/н:SUFF/ост:SUFF/ь:END
неаккуратность	не:PREF/аккурат:ROOT/н:SUFF/ост:SUFF/ь:END
аккуратненький	аккурат:ROOT/н:SUFF/еньк:SUFF/ий:END
аккуратный	аккурат:ROOT/н:SUFF/ый:END
неаккуратный	не:PREF/аккурат:ROOT/н:SUFF/ый:END
акробат	акробат:ROOT
акробатика	акробат:ROOT/ик:SUFF/а:END
акробатичность	акробат:ROOT/ичн:SUFF/ост:SUFF/ь:END
акробатка	акробат:ROOT/к:SUFF/а:END
акробатки	акробат:ROOT/к:SUFF/и:END
акробаты	акробат:ROOT/ы:END
акселерат	акселер:ROOT/ат:SUFF
акселератор	акселер:ROOT/атор:SUFF
акселераторы	акселер:ROOT/атор:SUFF/ы:END
акселераты	акселер:ROOT/ат:SUFF/ы:END
акселерация	акселер:ROOT/аци:SUFF/я:END
аксиома	аксиом:ROOT/а:END
аксиоматика	аксиом:ROOT/ат:SUFF/ик:SUFF/а:END
аксиоматичность	аксиом:ROOT/ат:SUFF/ичн:SUFF/ост:SUFF/ь:END
аксиомы	аксиом:ROOT/ы:END
аксиоматический	аксиом:ROOT/ат:SUFF/ич:SUFF/еск:SUFF/ий:END
аксиоматичный	аксиом:ROOT/ат:SUFF/ичн:SUFF/ый:END
акт	акт:ROOT
актер	акт:ROOT/ер:SUFF
актерка	акт:ROOT/ер:SUFF/к:SUFF/а:END
актерки	акт:ROOT/ер:SUFF/к:SUFF/и:END
актерство	акт:ROOT/ер:SUFF/ств:SUFF/о:END
актеры	акт:ROOT/ер:SUFF/ы:END
актив	акт:ROOT/ив:SUFF
активатор	акт:ROOT/ив:SUFF/атор:SUFF
активаторы	акт:ROOT/ив:SUFF/атор:SUFF/ы:END
активация	акт:ROOT/ив:SUFF/аци:SUFF/я:END
активизация	акт:ROOT/ив:SUFF/из:SUFF/аци:SUFF/я:END
активист	акт:ROOT/ив:SUFF/ист:SUFF
активисты	акт:ROOT/ив:SUFF/ист:SUFF/ы:END
активность	акт:ROOT/ивн:SUFF/ост:SUFF/ь:END
актор	акт:ROOT/ор:SUFF
акторы	акт:ROOT/ор:SUFF/ы:END
актриса	акт:ROOT/рис:SUFF/а:END
актрисы	акт:ROOT/рис:SUFF/ы:END
актуальность	акт:ROOT/у:SUFF/аль:SUFF/н:SUFF/ост:SUFF/ь:END
акты	акт:ROOT/ы:END
акции	акц:ROOT/и:SUFF/и:END
акционер	акц:ROOT/ион:SUFF/ер:SUFF
акционеры	акц:ROOT/ион:SUFF/ер:SUFF/ы:END
акция	акц:ROOT/и:SUFF/я:END
дезактивация	дез:PREF/акт:ROOT/ив:SUFF/аци:SUFF/я:END
неактивность	не:PREF/акт:ROOT/ивн:SUFF/ост:SUFF/ь:END
неактуальность	не:PREF/акт:ROOT/у:SUFF/аль:SUFF/н:SUFF/ост:SUFF/ь:END
проактивность	про:PREF/акт:ROOT/ивн:SUFF/ост:SUFF/ь:END
реактив	ре:PREF/акт:ROOT/ив:SUFF
реактивность	ре:PREF/акт:ROOT/ивн:SUFF/ост:SUFF/ь:END
реактивы	ре:PREF/акт:ROOT/ив:SUFF/ы:END
ретроактивность	ретро:PREF/акт:ROOT/ивн:SUFF/ост:SUFF/ь:END
актерский	акт:ROOT/ер:SUFF/ск:SUFF/ий:END
активаторный	акт:ROOT/ив:SUFF/атор:SUFF/н:SUFF/ый:END
активационный	акт:ROOT/ив:SUFF/аци:SUFF/онн:SUFF/ый:END
активизировавший	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
активизировавшийся	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
активизированный	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
активизирующий	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/ующ:SUFF/ий:END
активизирующийся	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/ующ:SUFF/ий:END/ся:POSTFIX
активировавший	акт:ROOT/ив:SUFF/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
активировавшийся	акт:ROOT/ив:SUFF/ир:SUFF/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
активированный	акт:ROOT/ив:SUFF/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
активирующий	акт:ROOT/ив:SUFF/ир:SUFF/ующ:SUFF/ий:END
активирующийся	акт:ROOT/ив:SUFF/ир:SUFF/ующ:SUFF/ий:END/ся:POSTFIX
активный	акт:ROOT/ивн:SUFF/ый:END
актировавший	акт:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END
актировавшийся	акт:ROOT/ир:SUFF/ов:SUFF/авш:SUFF/ий:END/ся:POSTFIX
актирующий	акт:ROOT/ир:SUFF/ующ:SUFF/ий:END
актирующийся	акт:ROOT/ир:SUFF/ующ:SUFF/ий:END/ся:POSTFIX
актовый	акт:ROOT/ов:SUFF/ый:END
актуализированный	акт:ROOT/уал:SUFF/из:SUFF/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
актуальный	акт:ROOT/у:SUFF/аль:SUFF/н:SUFF/ый:END
акционерный	акц:ROOT/ион:SUFF/ер:SUFF/н:SUFF/ый:END
акционированный	акц:ROOT/ион:SUFF/ир:SUFF/ов:SUFF/анн:SUFF/ый:END
неактивный	не:PREF/акт:ROOT/ивн:SUFF/ый:END
неактуальный	не:PREF/акт:ROOT/у:SUFF/аль:SUFF/н:SUFF/ый:END
актерствовать	акт:ROOT/ер:SUFF/ств:SUFF/ов:SUFF/ать:END
активизировать	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/ов:SUFF/ать:END
активировать	акт:ROOT/ив:SUFF/ир:SUFF/ов:SUFF/ать:END
актировать	акт:ROOT/ир:SUFF/ов:SUFF/ать:END
актуализировать	акт:ROOT/уал:SUFF/из:SUFF/ир:SUFF/ов:SUFF/ать:END
дезактивировать	дез:PREF/акт:ROOT/ив:SUFF/ир:SUFF/ов:SUFF/ать:END
заактировать	за:PREF/акт:ROOT/ир:SUFF/ов:SUFF/ать:END
реактивировать	ре:PREF/акт:ROOT/ив:SUFF/ир:SUFF/ов:SUFF/ать:END
активизировав	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/ов:SUFF/ав:SUFF
активизировавшись	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/ов:SUFF/ав:SUFF/шись:SUFF
активизируя	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/у:SUFF/я:SUFF
активизируясь	акт:ROOT/ив:SUFF/из:SUFF/ир:SUFF/у:SUFF/я:SUFF/сь:POSTFIX
активируя	акт:ROOT/ив:SUFF/ир:SUFF/у:SUFF/я:SUFF
актируя	акт:ROOT/ир:SUFF/у:SUFF/я:SUFF
актуализируя	акт:ROOT/уал:SUFF/из:SUFF/ир:SUFF/у:SUFF/я:SUFF
дезактивируя	дез:PREF/акт:ROOT/ив:SUFF/ир:SUFF/у:SUFF/я:SUFF
акустик	акуст:ROOT/ик:SUFF
акустика	акуст:ROOT/ик:SUFF/а:END
акустики	акуст:ROOT/ик:SUFF/и:END
акцент	акцент:ROOT
акцентирование	акцент:ROOT/ир:SUFF/ов:SUFF/ани:SUFF/е:END
акцентировка	акцент:ROOT/ир:SUFF/ов:SUFF/к:SUFF/а:END
акцентовка	акцент:ROOT/ов:SUFF/к:SUFF/а:END
акцентуация	акцент:ROOT/у:SUFF/аци:SUFF/я:END
акценты	акцент:ROOT/ы:END
акциз	акциз:ROOT
акцизка	акциз:ROOT/к:SUFF/а:END
акцизки	акциз:ROOT/к:SUFF/и:END
акцизы	акциз:ROOT/ы:END
албанец	албан:ROOT/ец:SUFF
албанка	албан:ROOT/к:SUFF/а:END
албанки	албан:ROOT/к:SUFF/и:END
албанцы	албан:ROOT/ц:SUFF/ы:END
алгебра	алгебр:ROOT/а:END
алгебраист	алгебр:ROOT/а:SUFF/ист:SUFF
алгебраисты	алгебр:ROOT/а:SUFF/ист:SUFF/ы:END
алгебры	алгебр:ROOT/ы:END
аленький	ал:ROOT/еньк:SUFF/ий:END
алый	ал:ROOT/ый:END
алеть	ал:ROOT/еть:END
алеться	ал:ROOT/еть:END/ся:POSTFIX
заалеть	за:PREF/ал:ROOT/еть:END
аллегорически	аллегор:ROOT/ич:SUFF/еск:SUFF/и:SUFF
аллегорично	аллегор:ROOT/ичн:SUFF/о:SUFF
аллегорический	аллегор:ROOT/ич:SUFF/еск:SUFF/ий:END
аллегоричный	аллегор:ROOT/ичн:SUFF/ый:END
аллеи	алле:ROOT/и:END
аллейка	аллей:ROOT/к:SUFF/а:END
аллейки	аллей:ROOT/к:SUFF/и:END
аллея	алле:ROOT/я:END
алмаз	алмаз:ROOT
алмазик	алмаз:ROOT/ик:SUFF
алмазики	алмаз:ROOT/ик:SUFF/и:END
алмазы	алмаз:ROOT/ы:END
алхимик	алхим:ROOT/ик:SUFF
алхимики	алхим:ROOT/ик:SUFF/и:END
алхимия	алхим:ROOT/и:SUFF/я:END
альпинизм	альпин:ROOT/изм:SUFF
альпинист	альпин:ROOT/ист:SUFF
